Order Date,Ship Date,State,Sales,Quantity,Discount,Profit,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Corporate,Segment_Home Office,Region_East,Region_South,Region_West,Category_Office Supplies,Category_Technology,Sub-Category_Appliances,Sub-Category_Art,Sub-Category_Binders,Sub-Category_Bookcases,Sub-Category_Chairs,Sub-Category_Copiers,Sub-Category_Envelopes,Sub-Category_Fasteners,Sub-Category_Furnishings,Sub-Category_Labels,Sub-Category_Machines,Sub-Category_Paper,Sub-Category_Phones,Sub-Category_Storage,Sub-Category_Supplies,Sub-Category_Tables
2015-09-17,2015-09-21,Pennsylvania,86.304,6,0.2,9.7092,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-17,2015-09-21,Pennsylvania,6.858,6,0.7,-5.715,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-17,2015-09-21,Pennsylvania,15.76,2,0.2,3.546,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-19,2017-10-23,Texas,29.472,3,0.2,9.9468,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016-12-08,2016-12-10,Texas,1097.544,7,0.2,123.4737,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016-12-08,2016-12-10,Texas,190.92,5,0.6,-147.963,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-12-27,2015-12-31,Texas,113.328,9,0.2,35.415,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-12-27,2015-12-31,Texas,532.3992,3,0.32,-46.9764,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-27,2015-12-31,Texas,212.058,3,0.3,-15.147,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-12-27,2015-12-31,Texas,371.168,4,0.2,41.7564,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2017-09-10,2017-09-15,Illinois,147.168,4,0.2,16.5564,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016-07-17,2016-07-22,California,77.88,2,0.0,3.894,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017-09-19,2017-09-23,Florida,95.616,2,0.2,9.5616,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2016-03-11,2016-03-13,Minnesota,45.98,2,0.0,19.7714,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-11,2016-03-13,Minnesota,17.46,2,0.0,8.2062,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-20,2014-10-25,Michigan,211.96,4,0.0,8.4784,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2016-06-20,2016-06-25,Delaware,45.0,3,0.0,4.95,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-20,2016-06-25,Delaware,21.8,2,0.0,6.104,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015-04-18,2015-04-22,Indiana,38.22,6,0.0,17.9634,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-18,2015-04-22,Indiana,75.18,6,0.0,35.3346,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015-04-18,2015-04-22,Indiana,6.16,2,0.0,2.9568,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-04-18,2015-04-22,Indiana,89.99,1,0.0,17.0981,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-12-11,2016-12-17,New York,15.26,7,0.0,6.2566,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016-12-11,2016-12-17,New York,1029.95,5,0.0,298.6855,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016-06-17,2016-06-18,New York,208.56,6,0.0,52.14,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2016-06-17,2016-06-18,New York,32.4,5,0.0,15.552,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016-06-17,2016-06-18,New York,319.41,5,0.1,7.098,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-06-17,2016-06-18,New York,14.56,2,0.0,6.9888,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016-06-17,2016-06-18,New York,30.0,2,0.0,3.3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-17,2016-06-18,New York,48.48,4,0.2,16.362,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-17,2016-06-18,New York,1.68,1,0.0,0.84,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-24,2015-11-30,California,13.98,2,0.0,6.1512,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-24,2015-11-30,California,25.824,6,0.2,9.3612,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-24,2015-11-30,California,146.73,3,0.0,68.9631,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015-11-24,2015-11-30,California,79.76,4,0.0,22.3328,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-04-30,2015-05-05,Illinois,213.115,5,0.3,-15.2225,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-12-05,2014-12-10,Arizona,1113.024,8,0.2,111.3024,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-05,2014-12-10,Arizona,167.968,4,0.2,62.988,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016-06-04,2016-06-06,Virginia,75.88,2,0.0,35.6636,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016-09-18,2016-09-23,New York,4.616,1,0.2,1.731,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-14,2017-09-17,Michigan,19.05,3,0.0,8.763,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015-04-26,2015-05-02,Tennessee,831.936,8,0.2,-114.3912,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-04-26,2015-05-02,Tennessee,97.04,2,0.2,1.213,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-04-26,2015-05-02,Tennessee,72.784,1,0.2,-18.196,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017-12-09,2017-12-11,Texas,1.248,3,0.8,-1.9344,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-09,2017-12-11,Texas,9.708,3,0.6,-5.8248,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017-12-09,2017-12-11,Texas,27.24,3,0.2,2.724,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014-11-26,2014-12-01,Texas,19.3,5,0.6,-14.475,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-06-12,2016-06-15,Alabama,208.16,1,0.0,56.2032,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-12,2016-06-15,Alabama,16.74,3,0.0,8.0352,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-12,2014-10-16,California,14.9,5,0.0,4.172,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-12,2014-10-16,California,21.39,1,0.0,6.2031,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015-09-03,2015-09-08,North Carolina,200.984,7,0.2,62.8075,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2017-11-13,2017-11-16,Illinois,230.376,3,0.2,-48.9549,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017-05-28,2017-05-30,South Carolina,301.96,2,0.0,33.2156,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-10-26,2017-11-02,Minnesota,19.99,1,0.0,6.7966,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-26,2017-11-02,Minnesota,6.16,2,0.0,2.9568,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016-04-05,2016-04-10,Texas,158.368,7,0.2,13.8572,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2016-09-17,2016-09-22,California,20.1,3,0.0,6.633,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-17,2016-09-22,California,73.584,2,0.2,8.2782,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016-09-17,2016-09-22,California,6.48,1,0.0,3.1104,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015-01-31,2015-02-05,Minnesota,12.96,2,0.0,6.2208,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015-01-31,2015-02-05,Minnesota,53.34,3,0.0,16.5354,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-01-31,2015-02-05,Minnesota,32.96,2,0.0,16.1504,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-06,2017-11-12,Oregon,5.682,1,0.7,-3.788,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-09,2017-11-11,New York,96.53,7,0.0,40.5426,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017-06-17,2017-06-20,California,51.312,3,0.2,17.9592,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-06,2016-09-11,Minnesota,77.88,6,0.0,22.5852,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-29,2016-09-02,Illinois,64.624,7,0.2,22.6184,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016-08-29,2016-09-02,Illinois,95.976,3,0.2,-10.7973,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-29,2016-09-02,Illinois,1.788,3,0.8,-3.0396,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-01,2016-12-04,Minnesota,23.92,4,0.0,11.7208,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015-11-13,2015-11-17,Colorado,238.896,6,0.2,-26.8758,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-13,2015-11-17,Colorado,102.36,3,0.2,-3.8385,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-11-13,2015-11-17,Colorado,36.882,3,0.7,-25.8174,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-23,2017-11-28,North Carolina,74.112,8,0.2,17.6016,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-23,2017-11-28,North Carolina,27.992,1,0.2,2.0994,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2017-11-23,2017-11-28,North Carolina,3.304,1,0.2,1.0738,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-15,2015-10-20,Illinois,339.96,5,0.2,67.992,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-25,2017-12-30,New York,41.96,2,0.0,10.9096,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-11-03,2016-11-10,Iowa,75.96,2,0.0,22.788,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-03,2016-11-10,Iowa,27.24,6,0.0,13.3476,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-25,2014-08-27,Ohio,40.096,14,0.2,14.5348,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-08-25,2014-08-27,Ohio,4.72,2,0.2,1.652,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-08-25,2014-08-27,Ohio,23.976,3,0.2,7.4925,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2014-08-25,2014-08-27,Ohio,130.464,6,0.2,44.0316,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-02,2015-03-06,Washington,787.53,3,0.0,165.3813,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015-04-05,2015-04-10,Tennessee,157.794,1,0.7,-115.7156,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-12,2016-06-15,Delaware,47.04,3,0.0,18.3456,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-06-12,2016-06-15,Delaware,30.84,4,0.0,13.878,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-12,2016-06-15,Delaware,226.56,6,0.0,63.4368,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2016-06-12,2016-06-15,Delaware,115.02,9,0.0,51.759,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2016-06-12,2016-06-15,Delaware,68.04,7,0.0,19.7316,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014-12-26,2014-12-28,Texas,600.558,3,0.3,-8.5794,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014-09-20,2014-09-25,Illinois,617.7,6,0.5,-407.682,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017-11-05,2017-11-12,Arizona,2.388,2,0.7,-1.8308,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-05,2017-11-12,Arizona,243.992,7,0.2,30.499,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2016-11-06,2016-11-10,California,81.424,2,0.2,-9.1602,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-11-06,2016-11-10,California,238.56,3,0.0,26.2416,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017-02-02,2017-02-05,Ohio,59.97,5,0.4,-11.994,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2017-02-02,2017-02-05,Ohio,78.304,2,0.2,29.364,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2017-02-02,2017-02-05,Ohio,21.456,9,0.2,6.9732,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016-10-13,2016-10-19,California,20.04,3,0.0,9.6192,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016-10-13,2016-10-19,California,35.44,1,0.0,16.6568,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016-10-13,2016-10-19,California,11.52,4,0.0,3.456,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-13,2016-10-19,California,4.02,2,0.0,1.9698,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016-10-13,2016-10-19,California,76.176,3,0.2,26.6616,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-13,2016-10-19,California,65.88,6,0.0,18.4464,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016-10-13,2016-10-19,California,43.12,14,0.0,20.6976,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-09-05,2016-09-07,Pennsylvania,82.8,2,0.2,10.35,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017-09-18,2017-09-23,California,8.82,3,0.0,2.3814,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-18,2017-09-23,California,10.86,3,0.0,5.1042,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2017-09-18,2017-09-23,California,143.7,3,0.0,68.976,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2017-12-22,2017-12-27,Missouri,839.43,3,0.0,218.2518,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-07,2015-09-12,California,671.93,7,0.0,20.1579,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014-10-22,2014-10-28,Ohio,93.888,4,0.2,12.9096,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-12-05,2016-12-09,Wisconsin,384.45,11,0.0,103.8015,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016-12-05,2016-12-09,Wisconsin,149.97,3,0.0,5.9988,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016-12-05,2016-12-09,Wisconsin,1951.84,8,0.0,585.552,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-12-05,2016-12-09,Wisconsin,171.55,5,0.0,80.6285,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-13,2016-03-16,Arizona,157.92,5,0.2,17.766,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-13,2016-03-16,Arizona,203.184,2,0.2,15.2388,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015-05-31,2015-06-02,California,58.38,7,0.0,26.271,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015-05-31,2015-06-02,California,105.52,4,0.0,48.5392,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015-05-31,2015-06-02,California,80.88,6,0.0,21.0288,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015-05-28,2015-06-03,Washington,6.63,3,0.0,1.7901,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
